Parameter C0
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
Parameter C6
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,159,142,117,132,138,119,141,124,140,141,131,121,131,101,111,117,103,123,120,82,106,
2772,90,85,67,101,87,97,94,90,67,65,79,95,77,81,65,98,64,67,85,69,77,
2841,143,142,109,149,102,71,140,126,125,128,129,127,148,126,100,151,126,119,116,149,114,
2850,93,82,66,84,77,76,77,90,87,87,87,88,97,90,81,96,90,92,98,102,91,
2851,140,110,152,125,97,136,136,110,34,142,115,111,154,112,140,139,169,157,176,112,128,
2852,121,145,128,107,119,107,99,106,105,129,103,89,95,95,94,99,107,94,82,105,90,
2853,144,130,117,172,130,160,127,140,91,147,138,149,137,145,139,140,150,134,118,160,134,
2964,156,140,158,178,163,158,157,155,151,155,159,155,167,164,155,168,153,157,172,136,145,
2965,168,172,166,200,190,173,189,181,155,172,161,161,176,172,190,176,172,150,165,169,165,
Parameter C7
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,96,89,74,84,95,49,86,69,75,93,74,92,89,58,67,77,68,71,69,40,66,
2772,23,31,28,64,29,21,33,34,26,29,38,24,34,32,23,33,25,29,30,28,32,
2841,103,93,65,110,54,38,92,69,81,96,86,79,104,63,65,97,77,74,80,94,76,
2850,40,44,36,44,35,30,41,42,37,41,44,43,43,37,49,38,37,42,42,37,43,
2851,85,50,66,91,58,62,87,50,20,63,60,60,89,60,75,65,83,84,91,47,69,
2852,40,35,43,41,48,40,42,42,32,42,39,34,34,35,40,37,32,37,44,36,31,
2853,55,48,45,48,37,35,56,49,42,53,47,47,45,45,45,49,57,50,40,56,43,
2964,116,91,102,126,99,96,100,94,94,95,105,95,105,94,102,96,84,100,111,68,91,
2965,85,81,75,110,80,63,85,74,79,99,76,73,100,101,57,85,73,92,94,52,57,
Parameter C8
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,1.04,3.37,0,2.38,0,4.08,2.33,0,0,0,0,1.09,5.62,1.72,1.49,5.19,0,2.82,0,5,1.52,
2772,0,12.9,14.29,26.56,6.9,4.76,12.12,8.82,15.38,20.69,13.16,4.17,11.76,9.38,4.35,3.03,4,6.9,6.67,7.14,9.38,
2841,0.97,1.08,0,2.73,1.85,18.42,1.09,2.9,0,0,1.16,0,2.88,3.17,6.15,2.06,1.3,0,0,1.06,0,
2850,12.5,0,11.11,6.82,2.86,13.33,5.56,0,2.7,0,0,0,2.33,2.7,22.45,2.63,0,2.38,0,0,2.33,
2851,1.18,6,0,12.09,6.9,4.84,8.05,6,20,1.59,8.33,5,2.25,0,5.33,0,1.2,3.57,1.1,4.26,2.9,
2852,17.5,2.86,4.65,7.32,2.22,7.5,4.76,2.38,0,11.9,12.82,2.94,2.94,8.57,10,24.32,9.38,5.41,4.55,2.78,6.45,
2853,9.09,0,8.89,6.25,0,2.86,0,2.04,0,0,2.13,0,2.22,2.22,4.44,2.04,0,2,0,3.57,0,
2964,1.72,2.2,6.86,9.52,1.01,2.08,7,3.19,2.13,2.11,3.85,1.05,1.9,0,0.98,0,2.38,1,0.9,1.47,1.1,
2965,1.18,0,1.33,1.82,2.5,0,4.71,1.35,0,2.02,0,1.37,0,0,0,1.18,1.37,0,0,0,0,
Parameter C9
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,21.88,16.85,28.38,19.05,29.47,20.41,23.26,17.39,12,25.81,21.62,30.43,25.84,18.97,16.42,22.08,25,11.27,18.84,12.5,22.73,
2772,0,0,0,4.69,6.9,0,0,5.88,0,3.45,2.63,0,5.88,0,4.35,0,0,10.34,0,3.57,3.13,
2841,23.3,16.13,6.15,23.64,11.11,10.53,11.96,10.14,14.81,22.92,23.26,17.72,31.73,14.29,21.54,21.65,18.18,13.51,25,18.09,23.68,
2850,2.5,11.36,13.89,4.55,2.86,10,13.89,14.29,5.41,9.76,4.55,6.98,9.3,8.11,4.08,7.89,5.41,9.52,9.52,5.41,20.93,
2851,21.18,16,21.21,5.49,24.14,19.35,24.14,10,5,17.46,11.67,23.33,23.6,16.67,18.67,7.69,12.05,13.1,9.89,12.77,10.14,
2852,5,5.71,13.95,4.88,15.56,22.5,11.9,19.05,12.5,7.14,7.69,14.71,20.59,8.57,10,0,3.13,10.81,6.82,5.56,3.23,
2853,10.91,12.5,2.22,2.08,5.41,14.29,12.73,4.08,16.67,15.09,10.64,10.64,11.11,13.33,15.56,6.12,17.54,14,10,10.71,9.3,
2964,25.86,9.89,11.76,19.05,20.2,17.71,15,11.7,10.64,11.58,22.12,23.16,16.19,12.77,30.39,11.46,11.9,19,21.62,14.71,25.27,
2965,14.12,11.11,8,24.55,6.25,14.29,12.94,8.11,16.46,24.24,11.84,8.22,29,24.75,17.54,10.59,13.7,23.91,24.47,7.69,3.51,
Parameter C10
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,71,65,52,55,65,39.36,56,55,65,66,55,60,58.59,47.42,52,54.55,50.51,58,55,35.87,50.51,
2772,25.56,26.14,25,30.86,27.78,21.59,26.14,26.14,22.99,20.93,23.86,25.56,25.84,25,21.59,25.27,21.35,22.73,25.84,25.84,24.72,
2841,72,74,59,72,44.79,27.59,73,47.47,68,72.63,57,63,61,50.52,41.94,65,54,62,72.5,73,58,
2850,30,29.03,26.14,27.78,29.35,25.29,28.89,33.33,30.43,31.18,31.18,31.18,33.33,31.52,25,31.52,33.33,33.33,30.11,30.11,28.57,
2851,65,40.43,50,49.47,39.36,43.75,52.58,40,14.12,47.96,41.49,42.71,59,48,45.26,56,68,67,78,40,55,
2852,28.41,30.77,33.7,27.47,28.26,30,27.47,31.52,27.47,28.09,29.21,28.57,27.78,27.78,23.86,22.09,22.47,31.52,25.56,25.27,24.44,
2853,39.78,37.5,34.07,41.49,35.11,29.67,44.21,43.01,40.96,45.36,42.55,38.54,40,38.95,33.7,43.3,46.94,42.11,35.11,44.79,36.84,
2964,80,72,77,79,77,74,75,72,76,79,74,71,79,82,68,82,72,77,84,51,66,
2965,70,72,66,76,70,52,67,67,66,72,67,66,71,75,46.46,75,61,70,71,48,55,
Parameter C11
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,1,2,1,4,2,0,4,1,1,2,2,2,0,0,2,1.01,1.01,1,1,0,0,
2772,0,1.14,0,3.7,0,1.14,1.14,1.14,0,3.49,5.68,0,3.37,4.55,1.14,7.69,2.25,2.27,2.25,1.12,4.49,
2841,3,1,0,1,1.04,0,2,5.05,0,2.11,3,1,2,2.06,2.15,3,2,0,1.25,1,0,
2850,4.44,5.38,2.27,4.44,2.17,0,1.11,2.15,2.17,3.23,5.38,5.38,3.23,0,2.38,2.17,1.08,1.08,4.3,4.3,2.2,
2851,1,0,2,10.53,1.06,0,1.03,2.11,2.35,1.02,4.26,1.04,3,2,0,3,4,0,2,0,1,
2852,2.27,1.1,0,5.49,6.52,0,6.59,2.17,2.2,4.49,1.12,1.1,0,2.22,1.14,3.49,4.49,0,7.78,6.59,3.33,
2853,2.15,4.17,3.3,2.13,1.06,1.1,4.21,4.3,1.2,1.03,0,4.17,0,1.05,2.17,3.09,1.02,1.05,2.13,2.08,3.16,
2964,2,5,3,0,1,1,0,3,5,1,0,1,3,0,1,1,0,1,1,3,0,
2965,2,0,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
Parameter C12
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,28,33,47,41,33,60.64,40,44,34,32,43,38,41.41,52.58,46,44.44,48.48,41,44,64.13,49.49,
2772,74.44,72.73,75,65.43,72.22,77.27,72.73,72.73,77.01,75.58,70.45,74.44,70.79,70.45,77.27,67.03,76.4,75,71.91,73.03,70.79,
2841,25,25,41,27,54.17,72.41,25,47.47,32,25.26,40,36,37,47.42,55.91,32,44,38,26.25,26,42,
2850,65.56,65.59,71.59,67.78,68.48,74.71,70,64.52,67.39,65.59,63.44,63.44,63.44,68.48,72.62,66.3,65.59,65.59,65.59,65.59,69.23,
2851,34,59.57,48,40,59.57,56.25,46.39,57.89,83.53,51.02,54.26,56.25,38,50,54.74,41,28,33,20,60,44,
2852,69.32,68.13,66.3,67.03,65.22,70,65.93,66.3,70.33,67.42,69.66,70.33,72.22,70,75,74.42,73.03,68.48,66.67,68.13,72.22,
2853,58.06,58.33,62.64,56.38,63.83,69.23,51.58,52.69,57.83,53.61,57.45,57.29,60,60,64.13,53.61,52.04,56.84,62.77,53.13,60,
2964,18,23,20,21,22,25,25,25,19,20,26,28,18,18,31,17,28,22,15,46,34,
2965,28,28,33,21,28,48,33,33,34,27,33,34,29,24,53.54,25,39,30,29,52,45,
Parameter C13
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,98.61,97.01,98.11,93.22,97.01,100,93.33,98.21,98.48,97.06,96.49,96.77,100,100,96.3,98.18,98.04,98.31,98.21,100,100,
2772,100,95.83,100,89.29,100,95,95.83,95.83,100,85.71,80.77,100,88.46,84.62,95,76.67,90.48,90.91,92,95.83,84.62,
2841,96,98.67,100,98.63,97.73,100,97.33,90.38,100,97.18,95,98.44,96.83,96.08,95.12,95.59,96.43,100,98.31,98.65,100,
2850,87.1,84.38,92,86.21,93.1,100,96.3,93.94,93.33,90.63,85.29,85.29,91.18,100,91.3,93.55,96.88,96.88,87.5,87.5,92.86,
2851,98.48,100,96.15,82.46,97.37,100,98.08,95,85.71,97.92,90.7,97.62,95.16,96,100,94.92,94.44,100,97.5,100,98.21,
2852,92.59,96.55,100,83.33,81.25,100,80.65,93.55,92.59,86.21,96.3,96.3,100,92.59,95.45,86.36,83.33,100,76.67,79.31,88,
2853,94.87,90,91.18,95.12,97.06,96.43,91.3,90.91,97.14,97.78,100,90.24,100,97.37,93.94,93.33,97.87,97.56,94.29,95.56,92.11,
2964,97.56,93.51,96.25,100,98.72,98.67,100,96,93.83,98.75,100,98.61,96.34,100,98.55,98.8,100,98.72,98.82,94.44,100,
2965,97.22,100,98.51,96.2,97.22,100,100,100,100,98.63,100,100,100,98.68,100,100,100,100,100,100,100,
Parameter C14
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,100,100,100,100,100,94,100,100,100,100,100,100,99,97,100,99,99,100,100,92,99,
2772,90,88,88,81,90,88,88,88,87,86,88,90,89,88,88,91,89,88,89,89,89,
2841,100,100,100,100,96,87,100,99,100,95,100,100,100,97,93,100,100,100,80,100,100,
2850,90,93,88,90,92,87,90,93,92,93,93,93,93,92,84,92,93,93,93,93,91,
2851,100,94,100,95,94,96,97,95,85,98,94,96,100,100,95,100,100,100,100,95,100,
2852,88,91,92,91,92,90,91,92,91,89,89,91,90,90,88,86,89,92,90,91,90,
2853,93,96,91,94,94,91,95,93,83,97,94,96,95,95,92,97,98,95,94,96,95,
2964,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2965,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,
Parameter D0
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D1
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D2
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D3
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D4
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D5
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D6
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D7
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D8
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D9
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parameter D10
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
