Parameter C0
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,71,65,52,55,65,37,56,55,65,66,55,60,58,46,52,54,50,58,55,33,50,
2772,23,23,22,25,25,19,23,23,20,18,21,23,23,22,19,23,19,20,23,23,22,
2841,72,74,59,72,43,24,73,47,68,69,57,63,61,49,39,65,54,62,58,73,58,
2850,27,27,23,25,27,22,26,31,28,29,29,29,31,29,21,29,31,31,28,28,26,
2851,65,38,50,47,37,42,51,38,12,47,39,41,59,48,43,56,68,67,78,38,55,
2852,25,28,31,25,26,27,25,29,25,25,26,26,25,25,21,19,20,29,23,23,22,
2853,37,36,31,39,33,27,42,40,34,44,40,37,38,37,31,42,46,40,33,43,35,
2964,80,72,77,79,77,74,75,72,76,79,74,71,79,82,68,82,72,77,84,51,66,
2965,70,72,66,76,70,52,67,67,66,72,67,66,71,75,46,75,61,70,71,48,55,
Parameter C1
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,1,2,1,4,2,0,4,1,1,2,2,2,0,0,2,1,1,1,1,0,0,
2772,0,1,0,3,0,1,1,1,0,3,5,0,3,4,1,7,2,2,2,1,4,
2841,3,1,0,1,1,0,2,5,0,2,3,1,2,2,2,3,2,0,1,1,0,
2850,4,5,2,4,2,0,1,2,2,3,5,5,3,0,2,2,1,1,4,4,2,
2851,1,0,2,10,1,0,1,2,2,1,4,1,3,2,0,3,4,0,2,0,1,
2852,2,1,0,5,6,0,6,2,2,4,1,1,0,2,1,3,4,0,7,6,3,
2853,2,4,3,2,1,1,4,4,1,1,0,4,0,1,2,3,1,1,2,2,3,
2964,2,5,3,0,1,1,0,3,5,1,0,1,3,0,1,1,0,1,1,3,0,
2965,2,0,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
Parameter C2
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,28,33,47,41,33,57,40,44,34,32,43,38,41,51,46,44,48,41,44,59,49,
2772,67,64,66,53,65,68,64,64,67,65,62,67,63,62,68,61,68,66,64,65,63,
2841,25,25,41,27,52,63,25,47,32,24,40,36,37,46,52,32,44,38,21,26,42,
2850,59,61,63,61,63,65,63,60,62,61,59,59,59,63,61,61,61,61,61,61,63,
2851,34,56,48,38,56,54,45,55,71,50,51,54,38,50,52,41,28,33,20,57,44,
2852,61,62,61,61,60,63,60,61,64,60,62,64,65,63,66,64,65,63,60,62,65,
2853,54,56,57,53,60,63,49,49,48,52,54,55,57,57,59,52,51,54,59,51,57,
2964,18,23,20,21,22,25,25,25,19,20,26,28,18,18,31,17,28,22,15,46,34,
2965,28,28,33,21,28,48,33,33,34,27,33,34,29,24,53,25,39,30,29,52,45,
Parameter C3
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,1,3,0,2,0,2,2,0,0,0,0,1,5,1,1,4,0,2,0,2,1,
2772,0,4,4,17,2,1,4,3,4,6,5,1,4,3,1,1,1,2,2,2,3,
2841,1,1,0,3,1,7,1,2,0,0,1,0,3,2,4,2,1,0,0,1,0,
2850,5,0,4,3,1,4,2,0,1,0,0,0,1,1,11,1,0,1,0,0,1,
2851,1,3,0,11,4,3,7,3,4,1,5,3,2,0,4,0,1,3,1,2,2,
2852,7,1,2,3,1,3,2,1,0,5,5,1,1,3,4,9,3,2,2,1,2,
2853,5,0,4,3,0,1,0,1,0,0,1,0,1,1,2,1,0,1,0,2,0,
2964,2,2,7,12,1,2,7,3,2,2,4,1,2,0,1,0,2,1,1,1,1,
2965,1,0,1,2,2,0,4,1,0,2,0,1,0,0,0,1,1,0,0,0,0,
Parameter C4
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,21,15,21,16,28,10,20,12,9,24,16,28,23,11,11,17,17,8,13,5,15,
2772,0,0,0,3,2,0,0,2,0,1,1,0,2,0,1,0,0,3,0,1,1,
2841,24,15,4,26,6,4,11,7,12,22,20,14,33,9,14,21,14,10,20,17,18,
2850,1,5,5,2,1,3,5,6,2,4,2,3,4,3,2,3,2,4,4,2,9,
2851,18,8,14,5,14,12,21,5,1,11,7,14,21,10,14,5,10,11,9,6,7,
2852,2,2,6,2,7,9,5,8,4,3,3,5,7,3,4,0,1,4,3,2,1,
2853,6,6,1,1,2,5,7,2,7,8,5,5,5,6,7,3,10,7,4,6,4,
2964,30,9,12,24,20,17,15,11,10,11,23,22,17,12,31,11,10,19,24,10,23,
2965,12,9,6,27,5,9,11,6,13,24,9,6,29,25,10,9,10,22,23,4,2,
Parameter C5
Mouse,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3,s1,s2,s3
2756,2,4,0,7,0,0,4,1,0,1,1,1,3,0,1,1,0,2,0,0,0,
2772,0,3,2,16,0,0,5,5,2,1,6,0,2,3,1,2,3,2,3,1,2,
2841,3,2,2,8,3,3,5,8,1,3,5,1,5,1,6,6,6,2,1,2,0,
2850,3,7,2,10,4,1,7,3,4,5,8,6,4,4,13,3,3,5,6,3,5,
2851,0,1,0,18,2,5,7,2,1,3,5,1,4,0,14,1,0,3,1,1,4,
2852,4,3,4,6,8,1,4,2,1,5,4,1,1,2,10,6,4,2,9,4,3,
2853,5,2,6,3,1,1,3,2,0,0,1,1,1,0,3,0,0,1,1,3,1,
2964,2,3,3,11,0,2,3,5,1,2,4,0,4,0,1,2,0,2,1,3,1,
2965,0,0,1,2,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
